"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","testMethod","All Test Suite","Tue Feb 17 05:40:10 UTC 2026","passed","Tue Feb 17 05:40:10 UTC 2026","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","72","shouldCheckTheBox","All Test Suite","Tue Feb 17 05:40:15 UTC 2026","passed","Tue Feb 17 05:40:15 UTC 2026","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldCheckTheBox"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Tue Feb 17 05:40:12 UTC 2026","passed","Tue Feb 17 05:40:12 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","2","testRegister","All Test Suite","Tue Feb 17 05:40:11 UTC 2026","passed","Tue Feb 17 05:40:11 UTC 2026","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","812","shouldSearchWiki","All Test Suite","Tue Feb 17 05:40:15 UTC 2026","passed","Tue Feb 17 05:40:16 UTC 2026","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldSearchWiki"
"","56","testCRUDJson","All Test Suite","Tue Feb 17 05:40:12 UTC 2026","passed","Tue Feb 17 05:40:12 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","testCRUDJson"
"","1","testMethod","All Test Suite","Tue Feb 17 05:40:10 UTC 2026","passed","Tue Feb 17 05:40:10 UTC 2026","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","0","testRegister","All Test Suite","Mon Feb 16 14:33:46 UTC 2026","passed","Mon Feb 16 14:33:46 UTC 2026","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","5","testMethod","All Test Suite","Tue Feb 17 05:40:10 UTC 2026","passed","Tue Feb 17 05:40:10 UTC 2026","auto.play01.datadriven01.TestDDT01","Data-Driven Test","auto.play01.datadriven01.TestDDT01","testMethod"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","0","loginTest","All Test Suite","Tue Feb 17 05:40:12 UTC 2026","passed","Tue Feb 17 05:40:12 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","70","shouldClickButton","All Test Suite","Tue Feb 17 05:40:15 UTC 2026","passed","Tue Feb 17 05:40:15 UTC 2026","auto.play01.datadriven01.TestExample","Data-Driven Test","auto.play01.datadriven01.TestExample","shouldClickButton"
"","1","loginTest","All Test Suite","Tue Feb 17 05:40:12 UTC 2026","passed","Tue Feb 17 05:40:12 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","0","testRegister","All Test Suite","Tue Feb 17 05:40:11 UTC 2026","passed","Tue Feb 17 05:40:11 UTC 2026","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Tue Feb 17 05:40:12 UTC 2026","passed","Tue Feb 17 05:40:12 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","loginTest","All Test Suite","Tue Feb 17 05:40:12 UTC 2026","passed","Tue Feb 17 05:40:12 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
"","1","testRegister","All Test Suite","Mon Feb 16 14:33:46 UTC 2026","passed","Mon Feb 16 14:33:46 UTC 2026","auto.play01.datadriven01.TestDataFaker","Data-Driven Test","auto.play01.datadriven01.TestDataFaker","testRegister"
"","1","loginTest","All Test Suite","Mon Feb 16 14:33:47 UTC 2026","passed","Mon Feb 16 14:33:47 UTC 2026","auto.play01.datadriven01.CRUDJsonTest","Data-Driven Test","auto.play01.datadriven01.CRUDJsonTest","loginTest"
